scientific_name,park_name,observations,category,common_names,conservation_status
Vicia benghalensis,Great Smoky Mountains National Park,68,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",
Neovison vison,Great Smoky Mountains National Park,77,Mammal,American Mink,
Prunus subcordata,Yosemite National Park,138,Vascular Plant,Klamath Plum,
Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,
Githopsis specularioides,Great Smoky Mountains National Park,85,Vascular Plant,Common Bluecup,
Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,Virginia Wildrye,
Spizella pusilla,Yellowstone National Park,228,Bird,Field Sparrow,
Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,"Big Squirreltail, Big Wild Rye",
Lysimachia quadrifolia,Yosemite National Park,168,Vascular Plant,Whorled Loosestrife,
Diphyscium cumberlandianum,Yellowstone National Park,250,Nonvascular Plant,Cumberland Diphyscium Moss,
Ludwigia peploides ssp. glabrescens,Bryce National Park,103,Vascular Plant,Floating Primrosewillow,
Cistothorus platensis,Bryce National Park,114,Bird,Sedge Wren,
Setaria viridis var. viridis,Bryce National Park,101,Vascular Plant,Green Bristlegrass,
Arabis davidsonii,Yellowstone National Park,279,Vascular Plant,Davidson's Rockcress,
Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,Fabronia Moss,
Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,"Annual Honesty, Moneyplant",
Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,Annual Honesty,
Quercus bicolor,Yosemite National Park,143,Vascular Plant,Swamp White Oak,
Muhlenbergia rigens,Yosemite National Park,165,Vascular Plant,"Deer Muhly, Deergrass",
Rubus idaeus ssp. strigosus,Yosemite National Park,150,Vascular Plant,American Red Raspberry,
Polymnia canadensis,Great Smoky Mountains National Park,80,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",
Carduus nutans,Bryce National Park,83,Vascular Plant,Musk Thistle,
Ptilium crista-castrensis,Bryce National Park,109,Nonvascular Plant,Knights Plume Moss,
Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Western Waterweed,
Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Waterweed,
Larus philadelphia,Yosemite National Park,167,Bird,Bonaparte's Gull,
Zizia trifoliata,Yosemite National Park,135,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern
Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
Geranium thunbergii,Yosemite National Park,150,Vascular Plant,Thunberg's Geranium,
Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Cottongrass Bulrush",
Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Woolgrass",
Viola glabella,Yellowstone National Park,261,Vascular Plant,Pioneer Violet,
Scaphiopus holbrookii holbrookii,Yosemite National Park,177,Amphibian,Eastern Spadefoot,
Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
Veronica cusickii,Bryce National Park,84,Vascular Plant,Cusick's Speedwell,
Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,Fineleaf Sheep Fescue,
Rosa pinetorum,Bryce National Park,96,Vascular Plant,Pine Rose,
Lysimachia nummularia,Yosemite National Park,140,Vascular Plant,"Creeping Jennie, Moneywort",
Sclerolinon digynum,Bryce National Park,116,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",
Camissonia sierrae ssp. alticola,Bryce National Park,84,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,Idaho Fescue,
Doellingeria infirma,Yellowstone National Park,262,Vascular Plant,Cornel-Leaf Whitetop,
Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71,Vascular Plant,"Northern White Violet, Smooth White Violet",
Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,"Crepping Thistle, Canada Thistle",
Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,Canada Thistle,
Elaeagnus umbellata,Yosemite National Park,176,Vascular Plant,Autumn Olive,
Cornus alternifolia,Yosemite National Park,148,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,Common Purslane,
Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
Elaeagnus umbellata,Great Smoky Mountains National Park,85,Vascular Plant,Autumn Olive,
Solidago missouriensis var. missouriensis,Bryce National Park,112,Vascular Plant,Missouri Goldenrod,
Silene parryi,Great Smoky Mountains National Park,68,Vascular Plant,Parry's Silene,
Itea virginica,Yellowstone National Park,235,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",
Ammoselinum butleri,Yellowstone National Park,283,Vascular Plant,Butler's Sandparsley,
Platycladus orientalis,Great Smoky Mountains National Park,25,Vascular Plant,Oriental White Cedar,
Limnanthes alba ssp. versicolor,Yellowstone National Park,246,Vascular Plant,White Meadowfoam,
Panicum rigidulum var. pubescens,Yosemite National Park,158,Vascular Plant,Long-Leaved Panic Grass,
Salix humilis var. humilis,Great Smoky Mountains National Park,64,Vascular Plant,Prairie Willow,
Hepatica nobilis,Yellowstone National Park,281,Vascular Plant,Hepatica,
Eriogonum nudum var. deductum,Bryce National Park,88,Vascular Plant,Naked Buckwheat,
Penstemon procerus,Great Smoky Mountains National Park,67,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",
Ericameria suffruticosa,Yellowstone National Park,254,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",
Chasmanthium latifolium,Yosemite National Park,152,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats",
Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80,Vascular Plant,Emersed Bur-Reed,
Ribes rotundifolium,Yosemite National Park,147,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",
Pachysandra procumbens,Yellowstone National Park,213,Vascular Plant,American Pachysandra,
Helianthus annuus,Yellowstone National Park,265,Vascular Plant,Common Sunflower,
Helianthus annuus,Yellowstone National Park,265,Vascular Plant,"Annual Sunflower, Common Sunflower, Sunflower, Wild Sunflower",
Blarina brevicauda,Bryce National Park,77,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",
Polygonum viviparum,Great Smoky Mountains National Park,107,Vascular Plant,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",
Astragalus purshii var. purshii,Yosemite National Park,156,Vascular Plant,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",
Orthocarpus luteus,Great Smoky Mountains National Park,47,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",
Liparis loeselii,Yosemite National Park,157,Vascular Plant,"Fen Orchid, Fen Orchis",
Cornus canadensis,Bryce National Park,89,Vascular Plant,"Bunchberry Dogwood, Canadian Bunchberry",
Arctostaphylos uva-ursi,Yosemite National Park,154,Vascular Plant,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",
Isatis tinctoria,Yosemite National Park,127,Vascular Plant,Dyer's Woad,
Eschscholzia hypecoides,Bryce National Park,106,Vascular Plant,San Benito Poppy,
Tofieldia glabra,Great Smoky Mountains National Park,75,Vascular Plant,"Smooth Bog-Asphodel, Smooth Tofieldia",Species of Concern
Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,White-Tailed Deer,
Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,"White-Tailed Deer, White-Tailed Deer",
Galium pilosum var. puncticulosum,Bryce National Park,137,Vascular Plant,Hairy Bedstraw,
Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244,Vascular Plant,Common Twinpod,
Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63,Reptile,Common Garter Snake,
Krigia montana,Yellowstone National Park,214,Vascular Plant,"False Dandelion, Mountain Krigia",
Puma concolor,Bryce National Park,92,Mammal,Panther (Mountain Lion),
Puma concolor,Bryce National Park,92,Mammal,"Cougar, Mountain Lion, Puma",
Puma concolor,Bryce National Park,92,Mammal,Mountain Lion,
Sphaeralcea coccinea,Bryce National Park,108,Vascular Plant,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",
Hypentelium nigricans,Great Smoky Mountains National Park,54,Fish,Northern Hog Sucker,
Cryptantha affinis,Bryce National Park,105,Vascular Plant,"Common Cryptantha, Quill Cryptantha",
Pellaea atropurpurea,Bryce National Park,115,Vascular Plant,"Purple Cliff-Brake, Purple-Stem Cliff-Brake",
